id,text,label
1,I'm really enjoying this beautiful sunny day!,1
2,This service is terrible and I'm very disappointed.,0
3,Absolutely love the new update â€“ great job!,1
4,Not sure why this feature was removed it's frustrating.,0
5,What an amazing experience I would totally recommend it!,1
6,The product broke after one week. Really poor quality.,0
7,Fantastic support team solved my issue in minutes!,1
8,I'm tired of all these bugs. It's just not working.,0
9,This app is so helpful and intuitive.,1
10,Such a waste of money. Never buying again.,0